Sample,X,Y,Z
535,0.016,-0.141,0.922
536,0.031,-0.117,0.918
537,0.023,-0.129,0.930
538,0.023,-0.137,0.922
539,0.031,-0.137,0.914
540,0.012,-0.141,0.938
541,0.020,-0.121,0.930
542,0.020,-0.117,0.930
543,0.023,-0.145,0.918
544,0.020,-0.145,0.922
545,0.035,-0.137,0.918
546,0.023,-0.109,0.938
547,0.016,-0.137,0.934
548,0.016,-0.133,0.918
549,0.027,-0.145,0.918
550,0.023,-0.141,0.926
551,0.031,-0.121,0.930
552,0.031,-0.117,0.926
553,0.012,-0.145,0.938
554,0.023,-0.145,0.918
555,0.023,-0.121,0.938
556,0.023,-0.125,0.930
557,0.023,-0.137,0.930
558,0.027,-0.145,0.918
559,0.027,-0.141,0.918
560,0.039,-0.129,0.910
561,0.023,-0.121,0.922
562,0.020,-0.148,0.918
563,0.023,-0.145,0.918
564,0.020,-0.121,0.926
565,0.023,-0.113,0.930
566,0.020,-0.141,0.922
567,0.023,-0.145,0.918
568,0.031,-0.125,0.922
569,0.020,-0.129,0.934
570,0.027,-0.129,0.926
571,0.031,-0.145,0.918
572,0.008,-0.148,0.922
573,0.023,-0.121,0.926
574,0.023,-0.121,0.930
575,0.031,-0.148,0.918
576,0.027,-0.156,0.914
577,0.027,-0.137,0.930
578,0.027,-0.113,0.934
579,0.020,-0.109,0.930
580,0.016,-0.156,0.914
581,0.016,-0.133,0.922
582,0.027,-0.117,0.934
583,0.020,-0.121,0.938
584,0.027,-0.121,0.922
585,0.020,-0.160,0.926
586,0.035,-0.133,0.922
587,0.027,-0.133,0.934
588,0.023,-0.137,0.926
589,0.031,-0.129,0.922
590,0.020,-0.145,0.918
591,0.020,-0.133,0.930
592,0.023,-0.133,0.930
593,0.020,-0.133,0.926
594,0.012,-0.141,0.930
595,0.020,-0.145,0.926
596,0.031,-0.113,0.926
597,0.027,-0.145,0.926
598,0.016,-0.137,0.930
599,0.027,-0.133,0.922
600,0.027,-0.152,0.953
601,0.020,-0.125,0.922
602,0.020,-0.125,0.922
603,0.016,-0.156,0.922
604,0.027,-0.133,0.922
605,0.023,-0.125,0.926
606,0.012,-0.137,0.930
607,0.027,-0.137,0.922
608,0.016,-0.141,0.926
609,0.023,-0.121,0.918
610,0.012,-0.133,0.926
611,0.023,-0.137,0.930
612,0.023,-0.125,0.934
613,0.027,-0.141,0.926
614,0.020,-0.133,0.926
615,0.039,-0.129,0.918
616,0.012,-0.137,0.934
617,0.031,-0.137,0.926
618,0.008,-0.141,0.934
619,0.035,-0.125,0.918
620,-0.012,-0.145,0.902
621,0.039,-0.141,0.926
622,0.027,-0.113,0.922
623,0.023,-0.133,0.926
624,0.020,-0.137,0.926
625,0.035,-0.137,0.922
626,0.016,-0.117,0.930
627,0.016,-0.141,0.934
628,0.020,-0.141,0.922
629,0.035,-0.137,0.926
630,0.027,-0.141,0.930
631,0.031,-0.109,0.930
632,0.020,-0.129,0.934
633,0.016,-0.148,0.922
634,0.020,-0.145,0.918
635,0.031,-0.129,0.930
636,0.027,-0.121,0.930
637,0.020,-0.145,0.918
638,0.020,-0.145,0.922
639,0.023,-0.137,0.926
640,0.051,-0.125,0.930
641,0.027,-0.121,0.941
642,0.031,-0.145,0.914
643,0.004,-0.121,0.914
644,0.027,-0.133,0.930
645,0.016,-0.133,0.930
646,0.035,-0.137,0.918
647,0.023,-0.129,0.926
648,0.016,-0.145,0.930
649,0.035,-0.117,0.926
650,0.027,-0.125,0.926
651,0.020,-0.152,0.922
652,0.023,-0.125,0.922
653,0.016,-0.129,0.930
654,0.020,-0.121,0.930
655,0.027,-0.145,0.914
656,0.016,-0.148,0.934
657,0.023,-0.129,0.934
658,0.016,-0.129,0.926
659,0.035,-0.145,0.926
660,0.059,-0.109,0.906
661,0.047,-0.141,0.922
662,0.008,-0.121,0.941
663,0.035,-0.137,0.922
664,0.023,-0.148,0.918
665,0.031,-0.141,0.922
666,0.012,-0.133,0.930
667,0.027,-0.109,0.926
668,0.016,-0.137,0.926
669,0.016,-0.156,0.922
670,0.020,-0.125,0.922
671,0.020,-0.137,0.930
672,0.012,-0.129,0.926
673,0.027,-0.133,0.914
674,0.012,-0.137,0.926
675,0.020,-0.125,0.934
676,0.016,-0.121,0.918
677,0.020,-0.141,0.922
678,0.020,-0.145,0.918
679,0.016,-0.125,0.934
680,-0.008,-0.117,0.961
681,-0.008,-0.152,0.930
682,0.023,-0.148,0.922
683,0.031,-0.133,0.922
684,0.008,-0.133,0.934
685,0.031,-0.117,0.926
686,0.016,-0.137,0.922
687,0.027,-0.148,0.926
688,0.016,-0.133,0.934
689,0.023,-0.109,0.926
690,0.016,-0.133,0.930
691,0.023,-0.152,0.926
692,0.023,-0.133,0.934
693,0.027,-0.121,0.926
694,0.020,-0.129,0.926
695,0.020,-0.141,0.926
696,0.023,-0.145,0.918
697,0.023,-0.125,0.926
698,0.020,-0.117,0.934
699,0.027,-0.145,0.918
700,0.035,-0.141,0.922
701,0.000,-0.129,0.930
702,0.016,-0.121,0.934
703,0.023,-0.121,0.922
704,0.004,-0.156,0.918
705,0.023,-0.137,0.926
706,0.027,-0.105,0.930
707,0.012,-0.137,0.934
708,0.023,-0.137,0.906
709,0.020,-0.152,0.914
710,0.016,-0.125,0.926
711,0.016,-0.121,0.926
712,0.020,-0.129,0.918
713,0.023,-0.156,0.914
714,0.027,-0.145,0.918
715,0.027,-0.117,0.934
716,0.012,-0.125,0.930
717,0.027,-0.152,0.926
718,0.031,-0.133,0.922
719,0.027,-0.145,0.930
720,0.004,-0.129,0.922
721,0.000,-0.121,0.926
722,0.027,-0.145,0.926
723,0.020,-0.137,0.918
724,0.027,-0.133,0.926
725,0.020,-0.117,0.938
726,0.023,-0.125,0.930
727,0.020,-0.141,0.926
728,0.023,-0.133,0.922
729,0.031,-0.137,0.914
730,0.023,-0.129,0.930
731,0.023,-0.137,0.930
732,0.027,-0.129,0.918
733,0.023,-0.148,0.926
734,0.031,-0.129,0.930
735,0.023,-0.121,0.926
736,0.016,-0.141,0.926
737,0.020,-0.141,0.918
738,0.020,-0.137,0.930
739,0.020,-0.121,0.926
740,-0.055,-0.152,0.930
741,0.027,-0.133,0.898
742,0.012,-0.141,0.926
743,0.023,-0.129,0.922
744,0.023,-0.125,0.922
745,0.031,-0.145,0.914
746,0.031,-0.141,0.922
747,0.012,-0.125,0.922
748,0.023,-0.117,0.938
749,0.012,-0.133,0.926
750,0.027,-0.152,0.922
751,0.027,-0.117,0.914
752,0.012,-0.129,0.934
753,0.023,-0.121,0.918
754,0.020,-0.137,0.918
755,0.020,-0.156,0.922
756,0.031,-0.121,0.922
757,0.016,-0.117,0.934
758,0.023,-0.129,0.934
759,0.020,-0.133,0.918
760,0.070,-0.137,0.910
761,0.031,-0.145,0.918
762,0.020,-0.109,0.926
763,0.016,-0.129,0.934
764,0.012,-0.141,0.926
765,0.027,-0.137,0.914
766,0.023,-0.133,0.930
767,0.023,-0.125,0.938
768,0.020,-0.117,0.922
769,0.020,-0.133,0.934
770,0.027,-0.148,0.918
771,0.016,-0.133,0.922
772,0.035,-0.133,0.930
773,0.016,-0.129,0.930
774,0.031,-0.129,0.914
775,0.012,-0.121,0.930
776,0.020,-0.152,0.922
777,0.008,-0.125,0.934
778,0.027,-0.121,0.922
779,0.004,-0.137,0.934
780,0.016,-0.133,0.926
781,-0.008,-0.133,0.922
782,0.008,-0.148,0.926
783,0.020,-0.117,0.926
784,0.031,-0.109,0.926
785,0.020,-0.152,0.922
786,0.027,-0.148,0.910
787,0.016,-0.125,0.918
788,0.023,-0.113,0.934
789,0.008,-0.133,0.930
790,0.031,-0.129,0.918
791,0.016,-0.152,0.922
792,0.020,-0.145,0.926
793,0.031,-0.109,0.930
794,0.008,-0.141,0.922
795,0.027,-0.141,0.926
796,0.031,-0.129,0.930
797,0.023,-0.125,0.930
798,0.016,-0.145,0.930
799,0.027,-0.137,0.926
800,-0.020,-0.129,0.926
801,0.000,-0.133,0.926
802,0.020,-0.145,0.922
803,0.031,-0.141,0.914
804,0.016,-0.129,0.930
805,0.020,-0.129,0.926
806,0.020,-0.125,0.926
807,0.031,-0.152,0.918
808,0.016,-0.145,0.926
809,0.035,-0.113,0.926
810,0.016,-0.121,0.930
811,0.027,-0.145,0.922
812,0.012,-0.152,0.922
813,0.031,-0.133,0.914
814,0.004,-0.125,0.938
815,0.020,-0.133,0.926
816,0.027,-0.125,0.914
817,0.027,-0.141,0.922
818,0.004,-0.152,0.930
819,0.031,-0.121,0.918
820,0.023,-0.141,0.945
821,0.023,-0.133,0.926
822,0.031,-0.137,0.914
823,0.023,-0.141,0.918
824,0.016,-0.129,0.926
825,0.012,-0.137,0.926
826,0.016,-0.117,0.930
827,0.027,-0.129,0.918
828,0.027,-0.141,0.926
829,0.008,-0.137,0.934
830,0.012,-0.137,0.914
831,0.023,-0.129,0.930
832,0.027,-0.129,0.926
833,0.031,-0.137,0.918
834,0.020,-0.137,0.926
835,0.023,-0.133,0.926
836,0.027,-0.133,0.922
837,0.031,-0.125,0.926
838,0.031,-0.125,0.922
839,0.023,-0.129,0.926
840,0.008,-0.125,0.914
841,0.012,-0.145,0.910
842,0.016,-0.141,0.922
843,0.035,-0.129,0.926
